id,date,url,github_id,full_name,owner_name,repo_name,html_url,created_at,updated_at,size_in_kb,stars,open_issues,tags_count,contributors_count,commits_last_two_years_count,language,duration_in_days_from_created_at,duration_in_days_from_updated_at,nb_services,nb_containers
d890b724-15ce-4b2c-8745-42922c92ac03,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/vegasbrianc/prometheus,40968174,vegasbrianc/prometheus,vegasbrianc,prometheus,https://github.com/vegasbrianc/prometheus,2015-08-18T11:28:35Z,2021-01-28T13:12:49Z,3133,2949,0,0,33,30,null,1990,0,5,5
8f8a5794-f919-4b89-88d7-ed6ddaaabfff,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Zappelphilipp/docker-graylog-kibana-nginx-stack,121548703,Zappelphilipp/docker-graylog-kibana-nginx-stack,Zappelphilipp,docker-graylog-kibana-nginx-stack,https://github.com/Zappelphilipp/docker-graylog-kibana-nginx-stack,2018-02-14T18:56:28Z,2018-07-22T16:03:38Z,23,2,1,0,1,0,null,1079,921,5,5
5a4ac44a-3ca0-4cb8-ac78-01845db4b4c7,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/joelanman/e-petitions,258575376,joelanman/e-petitions,joelanman,e-petitions,https://github.com/joelanman/e-petitions,2020-04-24T17:13:48Z,2020-04-24T17:16:06Z,7971,0,0,85,38,30,Ruby,279,279,7,7
82669d3c-74c4-4397-8714-98dbf76d5580,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Semprini/cbe-utilities,81908868,Semprini/cbe-utilities,Semprini,cbe-utilities,https://github.com/Semprini/cbe-utilities,2017-02-14T05:32:40Z,2019-03-25T09:17:05Z,64,1,0,0,2,30,Python,1444,675,5,5
47eb2cdb-e4fe-448c-8ba0-584f89b8468d,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/pjuu/pjuu,11630785,pjuu/pjuu,pjuu,pjuu,https://github.com/pjuu/pjuu,2013-07-24T09:09:59Z,2020-10-30T22:18:40Z,5192,55,24,0,7,30,Python,2745,89,5,5
4db2ca89-26ba-4063-a856-8b205c64bc5b,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/blacktop/docker-bro,19327261,blacktop/docker-bro,blacktop,docker-bro,https://github.com/blacktop/docker-bro,2014-04-30T21:06:00Z,2021-01-03T12:36:54Z,79787,124,2,0,3,2,Zeek,2465,25,3,3
46053d9d-fec8-411d-a87d-1f8040b9a1cc,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/miso-lims/miso-lims,4726428,miso-lims/miso-lims,miso-lims,miso-lims,https://github.com/miso-lims/miso-lims,2012-06-20T13:17:28Z,2021-01-28T21:18:06Z,129300,127,4,435,14,30,Java,3144,0,4,4
432782dc-2d73-434a-85b9-d5223acf3b13,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/Screenly/screenly-ose,5169716,Screenly/screenly-ose,Screenly,screenly-ose,https://github.com/Screenly/screenly-ose,2012-07-24T18:48:50Z,2021-01-28T01:31:47Z,19237,1162,35,17,50,30,CSS,3110,0,5,5
ac2a2a51-6612-4748-a126-b0fbd5bf2485,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/hamburml/docker-flow-letsencrypt,78297422,hamburml/docker-flow-letsencrypt,hamburml,docker-flow-letsencrypt,https://github.com/hamburml/docker-flow-letsencrypt,2017-01-07T18:54:28Z,2020-10-29T07:43:42Z,80,94,14,8,8,2,Shell,1482,91,3,4
c7b14d81-808f-4f53-a4a9-d81fae21aa0f,Thu Jan 28 2021 17:31:50 GMT-0500 (Eastern Standard Time),https://github.com/LaVestima/hanna-agency,76071702,LaVestima/hanna-agency,LaVestima,hanna-agency,https://github.com/LaVestima/hanna-agency,2016-12-09T21:30:59Z,2019-12-08T21:01:12Z,5268,0,7,0,2,30,PHP,1511,417,6,6
